sequence_id,category,method,base_seed,seed,exact_match_accuracy,pairwise_order_accuracy,normalized_kendall_agreement,kendall_tau,inversion_count
sequence_1,DIY,greedy_nn,10,10,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,10,10,0.0,0.8571428571428571,0.8571428571428572,0.7142857142857143,4.0
sequence_2,Plant Growth,greedy_nn,10,11,0.0,0.0,0.0,-1.0,28.0
sequence_2,Plant Growth,continuity,10,11,0.0,0.7857142857142857,0.7857142857142857,0.5714285714285714,6.0
sequence_3,Construction,greedy_nn,10,12,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,10,12,0.0,0.25,0.25,-0.5,21.0
sequence_4,Plant Growth,greedy_nn,10,13,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,10,13,1.0,1.0,1.0,1.0,0.0
sequence_5,DIY,greedy_nn,10,14,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,10,14,0.0,0.2857142857142857,0.2857142857142857,-0.4285714285714286,20.0
sequence_6,DIY,greedy_nn,10,15,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,10,15,0.0,0.75,0.75,0.5,7.0
sequence_7,Coffee,greedy_nn,10,16,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,10,16,0.0,0.39285714285714285,0.3928571428571429,-0.2142857142857142,17.0
sequence_1,DIY,greedy_nn,20,20,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,20,20,0.0,0.14285714285714285,0.1428571428571429,-0.7142857142857142,24.0
sequence_2,Plant Growth,greedy_nn,20,21,1.0,1.0,1.0,1.0,0.0
sequence_2,Plant Growth,continuity,20,21,0.0,0.7857142857142857,0.7857142857142857,0.5714285714285714,6.0
sequence_3,Construction,greedy_nn,20,22,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,20,22,0.0,0.75,0.75,0.5,7.0
sequence_4,Plant Growth,greedy_nn,20,23,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,20,23,0.0,0.0,0.0,-1.0,28.0
sequence_5,DIY,greedy_nn,20,24,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,20,24,0.0,0.7142857142857143,0.7142857142857143,0.4285714285714286,8.0
sequence_6,DIY,greedy_nn,20,25,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,20,25,0.0,0.75,0.75,0.5,7.0
sequence_7,Coffee,greedy_nn,20,26,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,20,26,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_1,DIY,greedy_nn,30,30,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,30,30,0.0,0.8571428571428571,0.8571428571428572,0.7142857142857143,4.0
sequence_2,Plant Growth,greedy_nn,30,31,1.0,1.0,1.0,1.0,0.0
sequence_2,Plant Growth,continuity,30,31,0.0,0.7857142857142857,0.7857142857142857,0.5714285714285714,6.0
sequence_3,Construction,greedy_nn,30,32,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,30,32,0.0,0.75,0.75,0.5,7.0
sequence_4,Plant Growth,greedy_nn,30,33,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,30,33,1.0,1.0,1.0,1.0,0.0
sequence_5,DIY,greedy_nn,30,34,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,30,34,0.0,0.7142857142857143,0.7142857142857143,0.4285714285714286,8.0
sequence_6,DIY,greedy_nn,30,35,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,30,35,0.0,0.75,0.75,0.5,7.0
sequence_7,Coffee,greedy_nn,30,36,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,30,36,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_1,DIY,greedy_nn,40,40,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,40,40,0.0,0.8571428571428571,0.8571428571428572,0.7142857142857143,4.0
sequence_2,Plant Growth,greedy_nn,40,41,1.0,1.0,1.0,1.0,0.0
sequence_2,Plant Growth,continuity,40,41,0.0,0.7857142857142857,0.7857142857142857,0.5714285714285714,6.0
sequence_3,Construction,greedy_nn,40,42,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,40,42,0.0,0.75,0.75,0.5,7.0
sequence_4,Plant Growth,greedy_nn,40,43,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,40,43,0.0,0.0,0.0,-1.0,28.0
sequence_5,DIY,greedy_nn,40,44,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,40,44,0.0,0.2857142857142857,0.2857142857142857,-0.4285714285714286,20.0
sequence_6,DIY,greedy_nn,40,45,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,40,45,0.0,0.25,0.25,-0.5,21.0
sequence_7,Coffee,greedy_nn,40,46,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,40,46,0.0,0.39285714285714285,0.3928571428571429,-0.2142857142857142,17.0
sequence_1,DIY,greedy_nn,50,50,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,50,50,0.0,0.8571428571428571,0.8571428571428572,0.7142857142857143,4.0
sequence_2,Plant Growth,greedy_nn,50,51,1.0,1.0,1.0,1.0,0.0
sequence_2,Plant Growth,continuity,50,51,0.0,0.7857142857142857,0.7857142857142857,0.5714285714285714,6.0
sequence_3,Construction,greedy_nn,50,52,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,50,52,0.0,0.25,0.25,-0.5,21.0
sequence_4,Plant Growth,greedy_nn,50,53,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,50,53,0.0,0.0,0.0,-1.0,28.0
sequence_5,DIY,greedy_nn,50,54,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
