method,base_seed,n_sequences,mean_exact_match_accuracy,mean_pairwise_order_accuracy,mean_normalized_kendall_agreement,mean_kendall_tau,mean_inversion_count
continuity,10,7,0.1429,0.6173,0.6173,0.2347,10.7143
continuity,20,7,0.0,0.5357,0.5357,0.0714,13.0
continuity,30,7,0.1429,0.7806,0.7806,0.5612,6.1429
continuity,40,7,0.0,0.4745,0.4745,-0.051,14.7143
continuity,50,7,0.0,0.4745,0.4745,-0.051,14.7143
continuity,60,7,0.0,0.4745,0.4745,-0.051,14.7143
continuity,70,7,0.1429,0.5357,0.5357,0.0714,13.0
continuity,80,7,0.0,0.4949,0.4949,-0.0102,14.1429
continuity,90,7,0.0,0.4745,0.4745,-0.051,14.7143
continuity,100,7,0.1429,0.6276,0.6276,0.2551,10.4286
continuity,110,7,0.1429,0.5255,0.5255,0.051,13.2857
continuity,120,7,0.1429,0.5663,0.5663,0.1327,12.1429
continuity,130,7,0.1429,0.5357,0.5357,0.0714,13.0
continuity,140,7,0.1429,0.5255,0.5255,0.051,13.2857
continuity,150,7,0.0,0.5561,0.5561,0.1122,12.4286
greedy_nn,10,7,0.1429,0.6122,0.6122,0.2245,10.8571
greedy_nn,20,7,0.2857,0.7551,0.7551,0.5102,6.8571
greedy_nn,30,7,0.2857,0.7551,0.7551,0.5102,6.8571
greedy_nn,40,7,0.2857,0.7551,0.7551,0.5102,6.8571
greedy_nn,50,7,0.2857,0.7551,0.7551,0.5102,6.8571
greedy_nn,60,7,0.2857,0.7551,0.7551,0.5102,6.8571
greedy_nn,70,7,0.1429,0.6122,0.6122,0.2245,10.8571
greedy_nn,80,7,0.2857,0.7551,0.7551,0.5102,6.8571
greedy_nn,90,7,0.2857,0.7551,0.7551,0.5102,6.8571
greedy_nn,100,7,0.2857,0.7551,0.7551,0.5102,6.8571
greedy_nn,110,7,0.2857,0.7551,0.7551,0.5102,6.8571
greedy_nn,120,7,0.1429,0.6122,0.6122,0.2245,10.8571
greedy_nn,130,7,0.1429,0.6122,0.6122,0.2245,10.8571
greedy_nn,140,7,0.2857,0.7551,0.7551,0.5102,6.8571
greedy_nn,150,7,0.1429,0.6122,0.6122,0.2245,10.8571
