adjacency_weight,continuity_weight,n_sequences,mean_exact_match_accuracy,mean_pairwise_order_accuracy,mean_normalized_kendall_agreement,mean_kendall_tau,mean_inversion_count
0.5,0.5,7,0.0,0.25,0.25,-0.5,21.0
0.5,0.75,7,0.0,0.2857,0.2857,-0.4286,20.0
0.5,1.0,7,0.0,0.2908,0.2908,-0.4184,19.8571
0.5,1.25,7,0.0,0.3878,0.3878,-0.2245,17.1429
0.5,1.5,7,0.0,0.3673,0.3673,-0.2653,17.7143
0.75,0.5,7,0.0,0.2245,0.2245,-0.551,21.7143
0.75,0.75,7,0.0,0.25,0.25,-0.5,21.0
0.75,1.0,7,0.0,0.2857,0.2857,-0.4286,20.0
0.75,1.25,7,0.0,0.2857,0.2857,-0.4286,20.0
0.75,1.5,7,0.0,0.2908,0.2908,-0.4184,19.8571
1.0,0.5,7,0.0,0.2296,0.2296,-0.5408,21.5714
1.0,0.75,7,0.0,0.2245,0.2245,-0.551,21.7143
1.0,1.0,7,0.0,0.25,0.25,-0.5,21.0
1.0,1.25,7,0.0,0.2857,0.2857,-0.4286,20.0
1.0,1.5,7,0.0,0.2857,0.2857,-0.4286,20.0
1.25,0.5,7,0.0,0.2143,0.2143,-0.5714,22.0
1.25,0.75,7,0.0,0.2245,0.2245,-0.551,21.7143
1.25,1.0,7,0.0,0.2194,0.2194,-0.5612,21.8571
1.25,1.25,7,0.0,0.25,0.25,-0.5,21.0
1.25,1.5,7,0.0,0.2857,0.2857,-0.4286,20.0
1.5,0.5,7,0.0,0.2143,0.2143,-0.5714,22.0
1.5,0.75,7,0.0,0.2296,0.2296,-0.5408,21.5714
1.5,1.0,7,0.0,0.2245,0.2245,-0.551,21.7143
1.5,1.25,7,0.0,0.2194,0.2194,-0.5612,21.8571
1.5,1.5,7,0.0,0.25,0.25,-0.5,21.0
