sequence_id,method,taxonomy
sequence_1,random,scrambled
sequence_1,greedy_nearest_neighbor,scrambled
sequence_1,continuity,scrambled
sequence_2,random,scrambled
sequence_2,greedy_nearest_neighbor,exact
sequence_2,continuity,scrambled
sequence_3,random,scrambled
sequence_3,greedy_nearest_neighbor,endpoint_error
sequence_3,continuity,scrambled
sequence_4,random,scrambled
sequence_4,greedy_nearest_neighbor,exact
sequence_4,continuity,exact
sequence_5,random,scrambled
sequence_5,greedy_nearest_neighbor,scrambled
sequence_5,continuity,scrambled
sequence_6,random,scrambled
sequence_6,greedy_nearest_neighbor,scrambled
sequence_6,continuity,scrambled
sequence_7,random,scrambled
sequence_7,greedy_nearest_neighbor,scrambled
sequence_7,continuity,scrambled
